-119.0068	39.7984
-119.0069	39.7983
-119.0066	39.7987
-119.0065	39.7986
-119.0065	39.7988
-119.0063	39.7988
-119.0062	39.7996
-119.0061	39.7999
-119.0063	39.8002
-119.0061	39.8002
-119.0061	39.8003
-119.0064	39.8005
-119.0065	39.8005
-119.0067	39.8004
-119.0061	39.8008
-119.0059	39.8010
-119.0061	39.8010
-119.0055	39.8016
-119.0045	39.8030
-119.0106	39.7858
-119.0105	39.7861
-119.0105	39.7862
-119.0109	39.7858
-119.0108	39.7855
-119.0116	39.7848
-119.0084	39.7894
-119.0094	39.7895
-119.0084	39.7910
-119.0084	39.7913
-119.0077	39.7918
-119.0067	39.7936
-119.0069	39.7939
-119.0070	39.7939
-119.0068	39.7942
-119.0068	39.7942
-119.0070	39.7942
-119.0077	39.7944
-119.0074	39.7959
-119.0072	39.7965
-119.0071	39.7965
-119.0071	39.7966
-119.0076	39.7966
-119.0068	39.7974
-119.0065	39.7976
-119.0065	39.7976
-119.0064	39.7980
-119.0066	39.7953
-119.0101	39.7878
-119.0101	39.7877
-119.0101	39.7877
-119.0101	39.7876
-119.0102	39.7878
-119.0102	39.7877
-119.0102	39.7877
-119.0103	39.7877
-119.0103	39.7877
-119.0103	39.7876
-119.0103	39.7876
-119.0100	39.7877
-119.0100	39.7877
-119.0100	39.7876
-119.0100	39.7876
-119.0101	39.7876
-119.0102	39.7875
-119.0106	39.7870
-119.0106	39.7869
-119.0104	39.7862
-119.0103	39.7864
-119.0104	39.7866
-119.0101	39.7861
-119.0102	39.7862
-119.0101	39.7861
-119.0121	39.7837
-121.4887	0.0000
