-119.01036	39.80141	 N187
-119.00986	39.80192	 N188
-119.00943	39.80242	 N189
-119.00900	39.80289	 N190
-119.00852	39.80342	 N191
-119.00761	39.80438	 N192
-119.00710	39.80494	 N193
-119.00668	39.80539	 N194
-119.00621	39.80588	 N195
-119.00581	39.80636	 N196
-119.00488	39.80730	 N197
-119.00448	39.80785	 N198
-119.00402	39.80839	 N199
-119.00354	39.80877	 N200
-119.00302	39.80930	 N201
-119.00260	39.80974	 N202
-119.00215	39.81022	 N203
-119.00171	39.81073	 N204
-119.00125	39.81120	 N205
-119.00079	39.81168	 N206
-119.00026	39.81228	 N207
-119.00349	39.79713	 N208
-119.00167	39.79897	 N209
-118.99997	39.80103	 N210
-118.99798	39.80292	 N211
-118.99522	39.80445	 N212
-118.99450	39.80668	 N213
-118.99314	39.80821	 N214
-119.00504	39.79792	 N215
-119.00375	39.79935	 N216
-119.00186	39.80130	 N217
-119.00015	39.80314	 N218
-118.99817	39.80517	 N219
-118.99637	39.80710	 N220
-118.99461	39.80904	 N221
-119.01206	39.80162	 N222
-119.01022	39.80360	 N223
-119.00842	39.80554	 N224
-119.00660	39.80749	 N225
-119.00478	39.80944	 N226
-119.00298	39.81139	 N227
-119.00157	39.81291	 N228
-119.01298	39.80214	 N229
-119.01179	39.80375	 N230
-119.01021	39.80577	 N231
-119.00861	39.80791	 N232
-119.00804	39.80387	 N233
-119.00696	39.81007	 N234
-119.00543	39.81216	 N235
-119.00385	39.81416	 N236
-119.00527	39.80690	 N237
-119.00817	39.79970	 N238
-119.00776	39.80008	 N239
-119.00736	39.80289	 N240
