* made with GMT mapproject command:  -Ju11/1:1e6 -R-120/-114/0/90 -C -F
* Fri Jul 11 10:17:56 CDT 2014
*        xUTM(m)       yUTM(m)      name
> flt.1
         336761.3464         4401685.2299           
         336763.4487         4401686.8700           
         336765.5549         4401688.5131           
         336767.5973         4401690.7140           
         336769.6983         4401692.3531           
         336771.7114         4401694.8350           
         336773.7831         4401696.7550           
         336775.8841         4401698.3940           
         336777.9544         4401700.3130           
         336779.0196         4401700.9921           
         336781.0275         4401703.4700           
         336782.9988         4401705.2970           
         336783.0551         4401705.3492           
> flt.119
         336707.8456         4401733.2562           
         336708.9693         4401733.3734           
         336708.9107         4401733.9353           
         336709.4726         4401733.9939           
         336709.4140         4401734.5557           
         336709.9759         4401734.6143           
         336709.9173         4401735.1762           
         336711.3685         4401737.5995           
         336712.8197         4401740.0227           
         336712.7611         4401740.5846           
         336713.3230         4401740.6432           
         336713.2644         4401741.2051           
         336714.7209         4401743.6323           
         336716.2333         4401745.4957           
         336717.6845         4401747.9190           
         336719.1357         4401750.3423           
         336720.5870         4401752.7656           
         336720.5284         4401753.3274           
         336721.0902         4401753.3860           
         336721.0316         4401753.9479           
         336721.5935         4401754.0065           
         336721.4789         4401755.1322           
         336721.9236         4401756.3146           
         336723.8781         4401759.3583           
         336725.3879         4401761.2197           
         336725.2707         4401762.3434           
         336725.8326         4401762.4020           
         336727.2838         4401764.8253           
         336727.2252         4401765.3872           
         336727.7871         4401765.4458           
         336727.7285         4401766.0076           
         336728.2904         4401766.0662           
         336728.2318         4401766.6281           
         336729.1797         4401768.4309           
         336729.1211         4401768.9928           
         336730.6336         4401770.8562           
         336732.0848         4401773.2794           
         336732.6467         4401773.3380           
         336732.5881         4401773.8999           
         336734.0393         4401776.3232           
         336735.4905         4401778.7465           
         336736.9417         4401781.1697           
         336736.8246         4401782.2935           
         336737.3864         4401782.3521           
         336737.3304         4401782.9159           
         336738.7817         4401785.3392           
         336738.7231         4401785.9011           
         336740.7948         4401787.8211           
         336741.6841         4401790.1857           
         336742.2460         4401790.2443           
         336742.1288         4401791.3681           
         336742.6907         4401791.4267           
         336742.6321         4401791.9885           
         336743.1939         4401792.0471           
         336744.6452         4401794.4704           
         336745.5931         4401796.2732           
         336745.5371         4401796.8371           
         336747.0496         4401798.7005           
         336747.9975         4401800.5033           
         336747.9389         4401801.0651           
         336748.5008         4401801.1237           
         336748.4422         4401801.6856           
         336749.0041         4401801.7442           
         336748.9455         4401802.3061           
         336749.5073         4401802.3647           
         336749.3901         4401803.4884           
         336749.9520         4401803.5470           
         336749.8934         4401804.1089           
         336750.4553         4401804.1675           
         336750.3967         4401804.7293           
         336750.9586         4401804.7880           
         336750.9000         4401805.3498           
         336752.3512         4401807.7731           
         336752.2926         4401808.3350           
         336753.8024         4401810.1964           
         336755.2536         4401812.6196           
         336755.1950         4401813.1815           
         336756.7049         4401815.0429           
         336758.1561         4401817.4662           
         336759.6073         4401819.8894           
         336760.5553         4401821.6922           
         336760.4967         4401822.2541           
         336762.5684         4401824.1741           
         336764.0782         4401826.0355           
         336765.5880         4401827.8969           
         336767.0392         4401830.3202           
         336766.9806         4401830.8820           
         336767.5425         4401830.9407           
         336767.4839         4401831.5025           
         336768.0458         4401831.5611           
         336767.9286         4401832.6849           
         336768.4905         4401832.7435           
         336769.9417         4401835.1667           
         336770.8896         4401836.9695           
         336770.8310         4401837.5314           
         336771.3929         4401837.5900           
         336771.3369         4401838.1539           
         336771.8988         4401838.2125           
         336771.8402         4401838.7743           
         336773.3500         4401840.6357           
         336774.8012         4401843.0590           
         336775.3631         4401843.1176           
         336775.1899         4401844.8052           
         336775.7518         4401844.8638           
         336775.6932         4401845.4257           
         336776.2577         4401845.4863           
         336776.1991         4401846.0481           
         336776.7610         4401846.1067           
         336776.7024         4401846.6686           
         336778.7741         4401848.5886           
         336780.2253         4401851.0119           
         336780.1667         4401851.5737           
         336780.7286         4401851.6324           
         336780.6700         4401852.1942           
         336781.1146         4401853.3766           
         336780.9975         4401854.5003           
         336782.4487         4401856.9235           
         336782.9952         4401857.8361           
> flt.120
         336782.9139         4402064.5559           
         336781.3866         4402063.5821           
         336778.9448         4402062.4745           
         336776.8132         4402061.1154           
         336774.4007         4402059.7270           
         336771.7085         4402058.3102           
         336769.2973         4402056.9228           
         336767.1670         4402055.5646           
         336765.0953         4402053.6446           
         336762.6841         4402052.2572           
         336761.3088         4402051.8297           
         336760.2729         4402050.8697           
         336758.8975         4402050.4423           
         336756.7966         4402048.8032           
         336754.6650         4402047.4441           
         336752.5640         4402045.8050           
         336750.1235         4402044.6985           
         336748.7481         4402044.2710           
         336746.6471         4402042.6320           
         336744.2066         4402041.5254           
         336742.0763         4402040.1673           
         336739.3549         4402039.0315           
         336737.2246         4402037.6733           
         336734.5018         4402036.5365           
         336731.8071         4402035.1178           
         336729.6768         4402033.7596           
         336728.3014         4402033.3322           
         336726.2590         4402031.1313           
         336724.1873         4402029.2113           
         336722.0570         4402027.8531           
         336719.9547         4402026.2130           
         336717.8525         4402024.5730           
         336715.7502         4402022.9329           
         336713.6733         4402021.0089           
         336711.6016         4402019.0889           
         336709.4713         4402017.7307           
         336707.4289         4402015.5298           
         336705.3572         4402013.6098           
         336703.2562         4402011.9707           
         336701.1858         4402010.0517           
         336699.4270         4402007.8820           
         336698.3619         4402007.2030           
         336696.2902         4402005.2830           
         336694.2133         4402003.3590           
         336692.1416         4402001.4390           
         336690.3801         4401999.2673           
         336688.2511         4401997.9102           
         336686.1794         4401995.9902           
         336684.1370         4401993.7892           
         336683.4114         4401992.5776           
         336681.3026         4401990.9325           
         336679.2309         4401989.0125           
         336676.0183         4401984.4176           
         336674.9531         4401983.7385           
         336672.9146         4401981.5406           
         336671.8495         4401980.8615           
         336669.8071         4401978.6606           
         336667.7647         4401976.4596           
         336667.0391         4401975.2480           
         336664.9075         4401973.8888           
         336662.8651         4401971.6879           
         336661.8000         4401971.0088           
         336659.7576         4401968.8079           
         336657.7445         4401966.3260           
         336655.6435         4401964.6869           
         336653.6011         4401962.4860           
         336651.5294         4401960.5660           
         336649.4284         4401958.9269           
         336647.3261         4401957.2868           
         336645.2518         4401955.3648           
         336643.2082         4401953.1629           
         336641.1951         4401950.6810           
         336639.4336         4401948.5094           
         336637.4759         4401946.3997           
         336637.3912         4401946.3084           
         336635.2902         4401944.6694           
         336633.1599         4401943.3112           
         336631.0590         4401941.6721           
         336629.0166         4401939.4712           
         336626.9449         4401937.5512           
         336624.8719         4401935.6302           
         336622.8002         4401933.7102           
         336620.7285         4401931.7902           
         336618.7154         4401929.3083           
         336616.6144         4401927.6692           
         336614.8517         4401925.4966           
         336613.4056         4401923.0773           
         336611.9544         4401920.6540           
         336611.5097         4401919.4717           
         336610.4446         4401918.7926           
         336608.9934         4401916.3694           
         336606.9510         4401914.1684           
         336604.9086         4401911.9675           
         336602.8369         4401910.0475           
         336600.7945         4401907.8465           
         336598.7215         4401905.9255           
         336597.6564         4401905.2465           
         336595.6114         4401903.0435           
         336593.5384         4401901.1225           
         336591.7769         4401898.9509           
         336590.0155         4401896.7792           
         336587.9145         4401895.1402           
         336585.8721         4401892.9392           
         336583.7711         4401891.3001           
         336581.6994         4401889.3801           
         336579.6277         4401887.4601           
         336577.5547         4401885.5391           
         336576.1022         4401883.1148           
         336574.6510         4401880.6916           
         336573.4807         4401878.2976           
         336572.0282         4401875.8733           
         336570.5769         4401873.4501           
         336569.1257         4401871.0268           
         336567.3935         4401868.5742           
         336565.9423         4401866.1510           
         336563.8947         4401863.9460           
         336561.8803         4401861.4631           
         336559.8073         4401859.5421           
         336557.7343         4401857.6211           
         336555.6626         4401855.7011           
         336553.6202         4401853.5002           
         336551.8002         4401851.8904           
> flt.121
         335590.7793         4401146.4079           
         335591.6328         4401143.6562           
         335592.3119         4401142.5910           
         335593.5222         4401141.8644           
         335594.2013         4401140.7993           
         335596.1199         4401138.7267           
         335597.2225         4401136.2832           
         335598.8856         4401133.8973           
         335600.5247         4401131.7964           
         335602.1624         4401129.6944           
         335603.0173         4401126.9437           
         335604.2582         4401125.9371           
         335605.6456         4401123.5260           
         335606.4992         4401120.7742           
         335607.3540         4401118.0235           
         335608.0330         4401116.9584           
         335608.6057         4401114.1774           
         335609.1770         4401111.3954           
         335610.0266         4401108.6406           
         335610.1731         4401107.2360           
         335610.8521         4401106.1708           
         335611.4247         4401103.3898           
         335611.9921         4401100.6048           
         335613.0973         4401098.1633           
         335613.7737         4401097.0962           
         335614.3385         4401094.3092           
         335615.1934         4401091.5584           
         335615.7647         4401088.7764           
         335616.3308         4401085.9904           
         335616.9034         4401083.2094           
         335617.4773         4401080.4293           
         335618.5837         4401077.9889           
         335619.4386         4401075.2381           
         335620.2856         4401072.4814           
         335621.1391         4401069.7297           
         335621.7130         4401066.9497           
         335622.5666         4401064.1980           
         335623.4136         4401061.4412           
         335623.9862         4401058.6602           
         335624.5588         4401055.8792           
         335624.5591         4401053.0316           
         335624.8508         4401050.2212           
         335624.8537         4401047.3756           
         335624.8631         4401044.5350           
         335624.4464         4401043.0707           
         335624.4546         4401040.2291           
         335624.1831         4401037.3592           
         335624.1886         4401034.5155           
         335623.3259         4401031.8679           
         335623.0531         4401028.9970           
         335623.0600         4401026.1544           
         335623.0681         4401023.3128           
         335623.2133         4401021.9071           
         335622.7966         4401020.4428           
         335622.7969         4401017.5952           
         335623.0873         4401014.7839           
         335623.3776         4401011.9726           
         335623.9489         4401009.1905           
         335624.2380         4401006.3782           
         335624.2474         4401003.5376           
         335623.9707         4401000.6636           
         335623.7005         4400997.7947           
         335623.4251         4400994.9218           
         335623.4293         4400992.0772           
         335622.8437         4400989.4559           
         335622.5748         4400986.5879           
         335622.5764         4400983.7413           
         335622.3036         4400980.8704           
         335622.0347         4400978.0024           
         335622.3263         4400975.1921           
         335622.6180         4400972.3818           
         335623.1880         4400969.5988           
         335623.7606         4400966.8178           
         335624.3160         4400961.4790           
         335624.8899         4400958.6990           
         335625.1815         4400955.8887           
         335625.7554         4400953.1087           
         335626.4345         4400952.0435           
         335628.2720         4400950.8098           
         335628.2827         4400947.9702           
         335628.5679         4400945.1548           
         335628.8596         4400942.3445           
         335629.1460         4400939.5302           
         335629.1581         4400936.6916           
         335629.1662         4400933.8499           
         335629.1756         4400931.0093           
         335629.4647         4400928.1970           
         335629.7511         4400925.3826           
         335630.3251         4400922.6026           
         335630.6128         4400919.7893           
         335630.7603         4400918.3473           
         335630.9006         4400916.9760           
         335631.4653         4400914.1890           
         335631.4644         4400911.3403           
         335631.7560         4400908.5300           
         335632.0412         4400905.7147           
         335632.3263         4400902.8993           
         335632.0509         4400900.0264           
         335632.0590         4400897.1848           
         335631.4786         4400894.5675           
         335631.4867         4400891.7259           
         335631.4936         4400888.8832           
         335631.7852         4400886.0729           
         335632.0678         4400883.2556           
         335632.0694         4400880.4090           
         335632.0684         4400877.5603           
         335631.7956         4400874.6894           
         335631.5163         4400871.8135           
         335630.9306         4400869.1922           
         335630.0693         4400866.5456           
         335630.3544         4400863.7302           
         335629.7753         4400861.1140           
         335630.0630         4400858.3006           
         335629.7941         4400855.4327           
         335629.8075         4400852.5951           
         335629.9579         4400851.1934           
         335630.6356         4400850.1273           
         335630.9273         4400847.3170           
         335631.2203         4400844.5076           
         335631.5146         4400841.6993           
         335632.6223         4400839.2598           
         335633.4772         4400836.5091           
         335634.3320         4400833.7584           
         335634.6263         4400830.9501           
         335634.9219         4400828.1427           
         335635.2149         4400825.3334           
         335635.3880         4400823.6458           
> flt.122
         336620.4479         4401139.9408           
         336619.7118         4401146.2220           
         336619.1379         4401149.0020           
         336618.8449         4401151.8113           
         336618.8329         4401154.6500           
         336618.6864         4401156.0546           
         336619.1311         4401157.2370           
         336618.8381         4401160.0463           
         336618.8261         4401162.8849           
         336618.8088         4401165.7195           
         336618.7942         4401168.5562           
         336619.0578         4401171.4201           
         336619.0458         4401174.2587           
         336618.4654         4401177.0337           
         336618.4533         4401179.8724           
         336618.4413         4401182.7110           
         336618.7102         4401185.5789           
         336619.2893         4401188.1952           
         336619.8685         4401190.8115           
         336619.8564         4401193.6501           
         336619.9909         4401195.0841           
         336620.7165         4401196.2957           
         336620.5700         4401197.7004           
         336621.4594         4401200.0651           
         336622.0333         4401202.6774           
         336622.9226         4401205.0420           
         336623.5017         4401207.6583           
         336624.6720         4401210.0523           
         336625.8423         4401212.4463           
         336625.8303         4401215.2849           
         336626.7197         4401217.6495           
         336627.1643         4401218.8319           
         336627.0205         4401220.2385           
         336627.7461         4401221.4502           
         336628.3252         4401224.0665           
         336629.4955         4401226.4604           
         336630.6658         4401228.8544           
         336631.8361         4401231.2484           
         336632.4152         4401233.8647           
         336632.8599         4401235.0470           
         336632.7134         4401236.4517           
         336633.6014         4401238.8153           
         336634.4908         4401241.1800           
         336635.6611         4401243.5740           
         336636.4919         4401246.5005           
         336637.3506         4401249.1451           
         336638.2400         4401251.5098           
         336639.1293         4401253.8744           
         336639.9894         4401256.5200           
         336641.1610         4401258.9150           
         336642.3326         4401261.3100           
         336643.2219         4401263.6746           
         336644.2578         4401264.6346           
         336645.1178         4401267.2802           
         336645.9779         4401269.9258           
         336646.0831         4401271.6407           
         336646.8087         4401272.8524           
         336647.0776         4401275.7203           
         336647.9669         4401278.0850           
         336648.8296         4401280.7326           
         336650.5618         4401283.1851           
         336651.7320         4401285.5791           
         336652.9036         4401287.9741           
         336653.7930         4401290.3387           
         336654.8288         4401291.2987           
         336655.3787         4401294.1960           
         336655.8234         4401295.3783           
         336657.5555         4401297.8309           
         336658.7258         4401300.2248           
         336660.1770         4401302.6481           
         336661.3473         4401305.0421           
         336663.0795         4401307.4946           
         336663.9688         4401309.8593           
         336664.8582         4401312.2240           
         336665.7209         4401314.8716           
         336667.4530         4401317.3241           
         336667.8977         4401318.5065           
         336669.6312         4401320.9600           
         336670.6963         4401321.6391           
         336671.4219         4401322.8508           
         336671.5577         4401324.2857           
         336673.0089         4401326.7090           
         336673.5919         4401329.3283           
         336674.6291         4401330.2893           
         336675.7714         4401332.9652           
         336676.9417         4401335.3592           
         336678.0840         4401338.0351           
         336679.2543         4401340.4290           
         336680.9838         4401342.8796           
         336682.9969         4401345.3615           
         336684.7304         4401347.8150           
         336687.5755         4401353.2245           
         336689.0268         4401355.6477           
         336689.9161         4401358.0124           
         336691.3700         4401360.4377           
         336693.3844         4401362.9205           
         336694.5546         4401365.3145           
         336696.0059         4401367.7378           
         336697.4506         4401370.1560           
         336698.0297         4401372.7723           
         336699.1720         4401375.4482           
         336700.0614         4401377.8129           
         336701.2304         4401380.2059           
         336702.4007         4401382.5998           
         336702.9798         4401385.2161           
         336704.1514         4401387.6111           
         336705.3217         4401390.0051           
         336706.4907         4401392.3980           
         336708.5038         4401394.8799           
         336708.9484         4401396.0622           
         336710.6806         4401398.5148           
         336711.0960         4401399.9781           
         336711.0839         4401402.8167           
         336711.9733         4401405.1814           
         336712.9798         4401406.4223           
         336714.1208         4401409.0972           
         336715.8530         4401411.5498           
         336717.3055         4401413.9740           
         336718.4771         4401416.3690           
         336719.4837         4401417.6100           
         336719.6194         4401419.0449           
         336720.6260         4401420.2859           
         336721.3981         4401423.7742           
         336722.0824         4401428.1054           
         336722.5271         4401429.2878           
         336724.2593         4401431.7403           
         336725.9914         4401434.1929           
         336726.8515         4401436.8385           
         336728.3027         4401439.2618           
         336729.3092         4401440.5027           
         336729.4437         4401441.9367           
         336730.6140         4401444.3307           
         336731.6205         4401445.5716           
         336732.4500         4401448.4971           
         336733.9012         4401450.9204           
         336735.0715         4401453.3144           
         336736.8037         4401455.7669           
         336737.6943         4401458.1326           
         336738.2735         4401460.7489           
         336738.6888         4401462.2122           
         336740.1401         4401464.6354           
         336741.0001         4401467.2810           
         336741.8895         4401469.6457           
         336742.7495         4401472.2913           
         336743.6389         4401474.6560           
         336744.5283         4401477.0206           
         336745.5641         4401477.9806           
         336746.3949         4401480.9072           
         336747.8461         4401483.3304           
         336749.5783         4401485.7830           
         336751.3397         4401487.9546           
         336752.5100         4401490.3486           
         336753.9612         4401492.7719           
         336755.6654         4401495.5064           
         336757.3976         4401497.9590           
         336758.8501         4401500.3832           
         336760.3013         4401502.8065           
         336761.4716         4401505.2005           
         336762.9228         4401507.6237           
         336764.6537         4401510.0753           
         336766.1049         4401512.4986           
         336766.9650         4401515.1442           
         336768.1340         4401517.5371           
         336769.5852         4401519.9604           
         336771.0364         4401522.3837           
         336772.2067         4401524.7776           
         336773.3770         4401527.1716           
         336774.4129         4401528.1316           
         336775.5831         4401530.5256           
         336777.3153         4401532.9782           
         336778.2047         4401535.3428           
         336778.9303         4401536.5545           
         336779.4801         4401539.4517           
         336779.9222         4401540.6320           
         336781.9353         4401543.1139           
         336783.1181         4401545.0890           
> flt.123
         336592.9105         4406151.4004           
         336589.3470         4406145.8716           
         336588.0706         4406143.6357           
         336587.4324         4406142.5177           
         336587.3373         4406140.7933           
         336586.0609         4406138.5574           
         336584.7845         4406136.3216           
         336583.5081         4406134.0857           
         336581.6546         4406131.8809           
         336579.2263         4406129.7078           
         336577.9499         4406127.4719           
         336576.6735         4406125.2360           
         336575.4967         4406124.7258           
         336573.6524         4406122.5235           
         336573.0165         4406121.4061           
         336571.8351         4406120.8947           
         336571.1969         4406119.7768           
         336568.7709         4406117.6042           
         336566.3426         4406115.4311           
         336565.7044         4406114.3132           
         336563.8532         4406112.1090           
         336562.6718         4406111.5976           
         336562.0336         4406110.4796           
         336560.1824         4406108.2754           
         336557.7564         4406106.1030           
         336555.3937         4406105.0801           
         336552.9994         4406103.4824           
         336550.5756         4406101.3105           
         336548.1904         4406099.7153           
         336545.7644         4406097.5428           
         336543.3701         4406095.9451           
         336542.1864         4406095.4330           
         336539.7898         4406093.8347           
         336539.1516         4406092.7168           
         336537.9703         4406092.2054           
         336535.5443         4406090.0329           
         336533.7881         4406089.5531           
         336531.4255         4406088.5302           
         336526.6368         4406085.3349           
         336524.2424         4406083.7372           
         336521.8481         4406082.1395           
         336519.4854         4406081.1166           
         336517.0594         4406078.9441           
         336514.6673         4406077.3471           
         336513.4860         4406076.8356           
         336511.0985         4406075.2398           
         336509.9195         4406074.7290           
         336507.5251         4406073.1313           
         336506.3438         4406072.6198           
         336503.9495         4406071.0221           
         336502.7682         4406070.5107           
         336500.3738         4406068.9130           
         336497.9478         4406066.7405           
         336495.5534         4406065.1428           
         336493.1591         4406063.5451           
         336490.7964         4406062.5223           
         336488.4338         4406061.4994           
         336487.2547         4406060.9886           
         336484.8604         4406059.3909           
         336483.6791         4406058.8795           
         336481.2553         4406056.7076           
         336478.8633         4406055.1105           
         336476.5029         4406054.0882           
         336475.8647         4406052.9703           
         336473.5020         4406051.9474           
         336472.3207         4406051.4360           
         336469.9287         4406049.8389           
         336467.5343         4406048.2412           
         336465.8099         4406048.3363           
         336464.6285         4406047.8249           
         336463.9903         4406046.7069           
         336461.6277         4406045.6841           
         336459.2696         4406044.6624           
         336456.8753         4406043.0647           
         336455.6939         4406042.5533           
         336455.0580         4406041.4360           
         336452.6976         4406040.4137           
         336451.5163         4406039.9023           
         336450.8781         4406038.7843           
         336448.5155         4406037.7615           
         336447.8795         4406036.6441           
         336445.5192         4406035.6219           
         336444.8833         4406034.5046           
         336442.5206         4406033.4817           
         336440.1580         4406032.4588           
         336437.7319         4406030.2863           
         336436.5506         4406029.7749           
         336433.5498         4406027.6341           
> flt.124
         336393.8182         4406684.8851           
         336398.9000         4406686.2325           
         336400.6245         4406686.1374           
         336401.8058         4406686.6489           
         336403.5303         4406686.5538           
         336404.7116         4406687.0652           
         336406.4360         4406686.9702           
         336407.0742         4406688.0881           
         336408.2556         4406688.5996           
         336408.8938         4406689.7175           
         336410.0751         4406690.2289           
         336411.7995         4406690.1339           
         336414.1622         4406691.1567           
         336416.5248         4406692.1796           
         336418.8875         4406693.2025           
         336421.2818         4406694.8002           
         336423.6445         4406695.8230           
         336426.5820         4406696.8142           
         336428.9763         4406698.4119           
         336430.7008         4406698.3169           
         336431.8821         4406698.8283           
         336433.6065         4406698.7332           
         336434.7879         4406699.2447           
         336436.5123         4406699.1496           
         336438.8750         4406700.1725           
         336442.3873         4406701.1320           
         336444.7545         4406702.1561           
         336446.4835         4406702.0622           
         336448.8461         4406703.0851           
         336451.2088         4406704.1080           
         336453.5714         4406705.1308           
         336455.3276         4406705.6106           
         336457.0520         4406705.5155           
         336459.4147         4406706.5384           
         336461.1391         4406706.4433           
         336463.5018         4406707.4662           
         336465.8645         4406708.4891           
         336468.2294         4406709.5126           
         336470.5920         4406710.5354           
         336472.9547         4406711.5583           
         336475.3196         4406712.5818           
         336477.6846         4406713.6053           
         336479.4113         4406713.5108           
         336481.7762         4406714.5343           
         336484.1412         4406715.5578           
         336485.8656         4406715.4627           
         336488.2283         4406716.4856           
         336490.5955         4406717.5097           
         336492.9581         4406718.5326           
         336494.1395         4406719.0440           
         336495.8639         4406718.9490           
         336496.5044         4406720.0675           
         336498.8693         4406721.0910           
         336501.2343         4406722.1145           
         336501.8725         4406723.2324           
         336504.2351         4406724.2553           
         336505.4165         4406724.7667           
         336507.8108         4406726.3644           
         336508.4490         4406727.4824           
         336510.8116         4406728.5052           
         336513.7491         4406729.4964           
         336516.1118         4406730.5193           
         336518.4744         4406731.5422           
         336520.1989         4406731.4471           
         336521.3802         4406731.9585           
         336522.0184         4406733.0765           
         336524.3810         4406734.0993           
         336527.3185         4406735.0905           
         336529.6812         4406736.1134           
         336530.3194         4406737.2313           
         336531.5007         4406737.7428           
         336533.2252         4406737.6477           
         336535.5878         4406738.6706           
         336538.5253         4406739.6618           
         336540.8856         4406740.6840           
         336543.2483         4406741.7069           
         336546.1858         4406742.6981           
         336548.5484         4406743.7210           
         336549.2954         4406744.0444           
         336550.9111         4406744.7438           
         336553.8485         4406745.7350           
         336555.0299         4406746.2465           
         336556.6426         4406746.1576           
         336556.7543         4406746.1514           
         336557.4733         4406746.4627           
         336559.1170         4406747.1743           
         336560.3300         4406748.2605           
         336562.0861         4406748.7403           
         336563.8106         4406748.6452           
         336564.9919         4406749.1566           
         336566.7141         4406749.0610           
         336569.6515         4406750.0521           
         336572.0142         4406751.0750           
         336574.3768         4406752.0979           
         336577.3143         4406753.0891           
         336579.0388         4406752.9940           
         336581.4014         4406754.0169           
         336583.7641         4406755.0397           
         336586.1267         4406756.0626           
         336587.3080         4406756.5741           
         336589.0325         4406756.4790           
         336591.3952         4406757.5019           
         336593.7578         4406758.5247           
         336597.2701         4406759.4842           
         336599.6327         4406760.5071           
         336601.3549         4406760.4114           
         336603.7176         4406761.4343           
         336606.0802         4406762.4572           
         336608.4429         4406763.4800           
         336611.9529         4406764.4389           
         336613.6773         4406764.3439           
         336616.0400         4406765.3667           
         336618.4026         4406766.3896           
         336620.7336         4406766.8377           
> flt.125
         336592.9105         4406151.4004           
         336593.0051         4406153.1167           
         336594.1808         4406153.6257           
         336595.4512         4406155.8510           
         336596.7215         4406158.0763           
         336596.8161         4406159.7926           
         336597.4513         4406160.9052           
         336599.2938         4406163.0990           
         336600.5641         4406165.3242           
         336602.4043         4406167.5174           
         336604.2467         4406169.7111           
         336606.6297         4406171.3012           
         336609.0128         4406172.8914           
         336610.1862         4406173.3998           
         336610.8529         4406175.0845           
         336612.6954         4406177.2783           
         336613.8688         4406177.7867           
         336616.2766         4406179.9470           
         336617.4523         4406180.4560           
         336619.1686         4406180.3614           
         336620.2812         4406179.7263           
         336623.7138         4406179.5370           
         336626.0653         4406180.5551           
         336627.7815         4406180.4604           
         336628.9865         4406181.5409           
         336630.7028         4406181.4463           
         336633.0520         4406182.4637           
         336634.7660         4406182.3685           
         336636.5139         4406182.8460           
         336638.2256         4406182.7501           
         336640.5702         4406183.7663           
         336642.9217         4406184.7844           
         336645.2641         4406185.8000           
         336646.4398         4406186.3090           
         336648.1561         4406186.2144           
         336649.3318         4406186.7234           
         336652.5037         4406186.5485           
         336652.7644         4406186.5341           
         336653.9379         4406187.0425           
         336657.3659         4406186.8521           
         336658.5416         4406187.3611           
         336660.2579         4406187.2665           
         336662.6094         4406188.2845           
         336664.9563         4406189.3013           
         336666.6703         4406189.2061           
         336668.4781         4406189.9893           
         336669.0172         4406190.2229           
         336671.3687         4406191.2409           
         336672.1892         4406191.5962           
> flt.126
         336781.2645         4406259.7957           
         336779.4659         4406258.5965           
         336777.3748         4406257.2704           
         336775.2678         4406255.6568           
         336773.4460         4406254.0269           
         336771.0517         4406252.4292           
         336768.6732         4406251.1189           
         336766.8537         4406249.4895           
         336764.4559         4406247.8909           
         336762.3478         4406246.2771           
         336760.2250         4406244.3761           
         336758.4044         4406242.7464           
         336756.0259         4406241.4362           
         336754.1962         4406239.5209           
         336752.1051         4406238.1948           
         336749.9970         4406236.5810           
         336747.8743         4406234.6800           
         336745.4799         4406233.0823           
         336744.8417         4406231.9644           
         336742.4632         4406230.6541           
         336740.3721         4406229.3280           
         336738.2641         4406227.7142           
         336736.1571         4406226.1006           
         336734.9758         4406225.5892           
         336734.3376         4406224.4713           
         336732.2465         4406223.1451           
         336730.1543         4406221.8187           
         336727.7894         4406220.7952           
         336725.6813         4406219.1814           
         336723.8459         4406217.2646           
         336721.7548         4406215.9385           
         336719.6637         4406214.6123           
         336718.1158         4406212.6797           
         336715.7373         4406211.3694           
         336713.3735         4406210.3463           
         336711.2665         4406208.7327           
         336708.8880         4406207.4225           
         336706.5095         4406206.1122           
         336704.1469         4406205.0893           
         336701.7842         4406204.0664           
         336699.6773         4406202.4529           
