* made with GMT mapproject command:  -Ju11/1:1e6 -R-120/-114/0/90 -C -F
* Fri Jul 11 10:17:56 CDT 2014
*        xUTM(m)       yUTM(m)      name
> flt.1
         328481.8467         4406547.6685           
         328556.1478         4406664.1405           
         328656.5546         4406808.7264           
         328672.4176         4406831.5699           
> flt.7
         328666.0561         4406828.3454           
         328724.8313         4406917.1658           
         328750.9371         4406985.4425           
         328787.0835         4407152.1178           
         328813.1893         4407306.7444           
         328839.2951         4407429.2408           
         328879.4579         4407592.3015           
         328931.6694         4407746.9281           
         328987.8973         4407917.6197           
> flt.8
         328232.3393         4406189.7318           
         328242.8784         4406249.2594           
         328230.8296         4406317.5360           
         328206.7319         4406385.8127           
         328200.7075         4406436.0161           
         328183.8449         4406514.8768           
         328196.6912         4406574.5776           
         328206.7319         4406628.7973           
         328224.8051         4406713.1390           
         328242.8784         4406779.4076           
         328256.9353         4406839.6517           
         328283.0411         4406934.0341           
         328285.0493         4406962.1481           
         328293.0818         4407004.3189           
         328293.0818         4407032.4329           
         328302.9733         4407065.6647           
         328324.8376         4407083.7331           
> flt.9
         328094.0731         4406292.7774           
         328114.3576         4406379.7883           
         328123.5688         4406457.7687           
         328125.0371         4406577.8846           
         328124.3983         4406727.1960           
         328136.1979         4406806.3899           
         328146.4878         4406861.7412           
         328155.9560         4406910.1379           
> flt.10
         328286.3923         4406969.1989           
         328278.6192         4407009.0839           
         328267.6938         4407043.8465           
         328262.7277         4407068.6770           
         328266.4451         4407088.4944           
> flt.11
         328276.4710         4407107.1804           
         328271.6286         4407137.9871           
         328267.6938         4407163.0327           
         328259.7481         4407189.8496           
         328245.9837         4407231.1863           
> flt.12
         328283.7622         4406944.1290           
         328311.3954         4406975.7117           
         328341.1278         4407000.7327           
         328356.8850         4407016.5046           
> flt.13
         328356.8850         4407016.5046           
         328377.9410         4407034.3116           
         328400.2027         4407050.9348           
> flt.14
         328401.7267         4407050.9398           
         328431.5748         4407060.1353           
         328470.3103         4407069.0743           
         328497.8349         4407083.9347           
         328521.9577         4407116.7487           
         328563.6729         4407176.3418           
         328610.3541         4407231.9621           
> flt.15
         328190.6237         4406483.1749           
         328222.9990         4406545.4496           
         328257.7616         4406612.9884           
         328293.5175         4406694.4323           
         328325.3005         4406752.0390           
         328363.0428         4406810.6389           
         328392.7084         4406864.5181           
         328432.5680         4406920.8861           
         328459.3849         4406955.6487           
         328504.0798         4407018.2215           
         328539.8356         4407066.8892           
         328576.5847         4407121.5162           
         328595.4558         4407164.2246           
         328606.5794         4407227.4646           
         328638.1642         4407333.2703           
         328673.9201         4407463.3819           
         328722.2872         4407643.0593           
> flt.16
         328922.6997         4407970.6248           
         328962.6155         4408031.3042           
         328977.1827         4408069.7086           
         328985.1285         4408142.5446           
         328993.0742         4408220.6778           
         329004.9929         4408309.4053           
         329027.5058         4408416.6728           
> flt.17
         328767.8736         4407743.7922           
         328754.7018         4407811.4718           
         328732.1889         4407884.3078           
         328718.9460         4407967.7382           
         328703.3018         4408033.9425           
         328697.7573         4408061.7629           
         328700.6984         4408095.0652           
         328727.0558         4408160.3382           
         328761.3233         4408233.9207           
         328801.0835         4408320.2767           
         328826.2136         4408390.1870           
         328850.2362         4408447.3089           
         328892.4281         4408517.3190           
         328948.0483         4408584.8578           
         329022.2086         4408674.9096           
         329109.6118         4408751.7185           
         329212.9066         4408821.9059           
         329289.7154         4408869.5804           
         329345.3357         4408902.6877           
         329398.3073         4408941.0921           
         329477.1026         4409008.8958           
         329539.8330         4409084.8064           
         329583.1338         4409138.0997           
         329679.7280         4409271.3330           
> flt.18
         328836.7751         4408415.3006           
         328728.8782         4408322.3245           
         328639.4150         4408237.5698           
         328589.9748         4408199.9011           
         328525.9494         4408148.6808           
         328460.4885         4408046.8719           
         328411.0483         4407940.9286           
         328356.8995         4407846.7568           
> flt.19
         328612.0214         4407729.8748           
         328658.2493         4407804.3795           
         328728.5235         4407911.5604           
> flt.20
         329990.0818         4404495.4483           
         329990.1710         4404495.4903           
         329992.3602         4404496.5201           
         329992.9501         4404497.6323           
         329995.2285         4404498.7041           
         329995.8184         4404499.8163           
         329998.0968         4404500.8881           
         330000.4023         4404503.0855           
         330001.5415         4404503.6214           
         330002.1306         4404504.7322           
         330004.4083         4404505.8025           
         330005.5858         4404508.0227           
         330006.7790         4404510.8101           
         330007.3688         4404511.9223           
         330008.5081         4404512.4582           
         330009.0979         4404513.5704           
         330011.4034         4404515.7679           
         330011.9932         4404516.8801           
         330014.2987         4404519.0776           
         330015.1560         4404520.1654           
         330016.0412         4404521.2886           
         330018.3197         4404522.3603           
         330019.4589         4404522.8962           
         330020.0488         4404524.0084           
         330021.1880         4404524.5443           
         330021.7778         4404525.6565           
         330022.9171         4404526.1924           
         330023.5069         4404527.3046           
         330025.1955         4404527.2642           
         330025.7854         4404528.3764           
         330028.0773         4404530.0110           
         330030.3828         4404532.2085           
         330032.6612         4404533.2802           
         330034.9532         4404534.9148           
         330037.2451         4404536.5495           
         330039.5505         4404538.7469           
         330040.6898         4404539.2828           
         330042.9952         4404541.4803           
         330044.1749         4404543.7048           
         330045.3127         4404544.2378           
         330045.9025         4404545.3500           
         330047.6443         4404547.5596           
         330048.2342         4404548.6718           
         330049.9154         4404550.2743           
> flt.21
         330045.9025         4404545.3500           
         330090.1761         4404585.5499           
         330136.8048         4404612.4685           
> flt.22
         327765.5420         4405654.7919           
         327833.8773         4405742.7823           
         327888.1136         4405823.0520           
         327916.2630         4405895.3953           
> flt.23
         327768.7937         4405658.1737           
         327714.5574         4405601.7679           
         327640.7960         4405567.0567           
         327601.1258         4405546.3592           
> flt.24
         327713.5278         4406274.6565           
         327664.6600         4406185.3506           
         327616.9320         4406094.2336           
         327547.5096         4405979.2526           
         327497.6122         4405901.1523           
         327432.5286         4405786.1714           
         327382.6312         4405679.8682           
         327317.5476         4405575.7345           
         327196.0583         4405397.8394           
         327091.9246         4405250.3167           
         327005.1465         4405115.8106           
         326604.5370         4404596.5098           
> flt.25
         327577.8819         4406378.4318           
         327486.7649         4406274.2981           
         327445.5453         4406213.5534           
         327363.1061         4406089.8947           
         327285.2067         4405972.5561           
         327159.1776         4405777.4936           
         327089.7552         4405638.6486           
         327011.6549         4405504.1426           
         326946.5713         4405413.0256           
         326861.9627         4405295.8752           
         326637.8453         4404964.5668           
         326388.0329         4404668.1227           
> flt.26
         327553.5836         4406634.9044           
         327506.7402         4406586.3222           
         327439.0370         4406510.7684           
         327360.9367         4406406.6347           
         327324.0560         4406337.2122           
         327298.0226         4406254.7730           
         327276.3280         4406176.6727           
         327228.6001         4406068.2001           
         327200.3972         4406011.7944           
         327065.8912         4405829.5604           
         326959.5880         4405666.8515           
         326853.2849         4405528.0066           
         326736.1345         4405369.6365           
         326647.1869         4405224.2832           
         326444.6571         4404992.8788           
         326399.6908         4404939.5855           
         326283.1117         4404801.3560           
         326189.8484         4404689.7731           
> flt.27
         327950.8722         4406734.6596           
         327994.4167         4406834.0168           
         328020.4501         4406890.4225           
         328059.1521         4406971.2789           
         328103.1697         4407061.7970           
         328150.6173         4407150.7568           
         328185.3285         4407211.5014           
         328208.1435         4407314.4409           
> flt.28
         327960.6532         4406936.2163           
         327994.4167         4406979.3701           
         328030.7744         4407036.5789           
> flt.29
         327745.1243         4406802.9593           
         327820.8605         4406929.4726           
         327888.1136         4407066.1481           
         327942.3499         4407178.9596           
         327995.4865         4407285.4579           
         327994.4167         4407309.1268           
         328003.0945         4407413.2605           
         328020.4501         4407521.7331           
         328037.8058         4407659.7102           
         328070.3475         4407807.2330           
         328111.5671         4407939.5696           
         328167.9729         4408095.7701           
