Time_s,X,Y,Z,Pressure_Pa
0.0,0.47500002,0.05,0.325,0.0
0.0,0.525,0.05,0.325,0.0
0.0,0.57500005,0.05,0.325,0.0
0.0,0.625,0.05,0.325,0.0
0.0,0.67499995,0.05,0.325,0.0
0.0,0.725,0.05,0.325,0.0
0.0,0.77500004,0.05,0.325,0.0
0.0,0.825,0.05,0.325,0.0
0.0,0.875,0.05,0.325,0.0
0.0,0.92499995,0.05,0.325,0.0
0.0,0.97499996,0.05,0.325,0.0
0.0,0.025,0.05,0.37500003,0.0
0.0,0.075,0.05,0.37500003,0.0
0.0,0.125,0.05,0.37500003,0.0
0.0,0.17500001,0.05,0.37500003,0.0
0.0,0.22500001,0.05,0.37500003,0.0
0.0,0.275,0.05,0.37500003,0.0
0.0,0.325,0.05,0.37500003,0.0
0.0,0.375,0.05,0.37500003,0.0
0.0,0.425,0.05,0.37500003,0.0
0.0,0.47500002,0.05,0.37500003,0.0
0.0,0.525,0.05,0.37500003,0.0
0.0,0.57500005,0.05,0.37500003,0.0
0.0,0.625,0.05,0.37500003,0.0
0.0,0.67499995,0.05,0.37500003,0.0
0.0,0.725,0.05,0.37500003,0.0
0.0,0.77500004,0.05,0.37500003,0.0
0.0,0.825,0.05,0.37500003,0.0
0.0,0.875,0.05,0.37500003,0.0
0.0,0.92499995,0.05,0.37500003,0.0
0.0,0.97499996,0.05,0.37500003,0.0
0.0,0.025,0.05,0.425,0.0
0.0,0.075,0.05,0.425,0.0
0.0,0.125,0.05,0.425,0.0
0.0,0.17500001,0.05,0.425,0.0
0.0,0.22500001,0.05,0.425,0.0
0.0,0.275,0.05,0.425,0.0
0.0,0.325,0.05,0.425,0.0
0.0,0.375,0.05,0.425,0.0
0.0,0.425,0.05,0.425,0.0
0.0,0.47500002,0.05,0.425,0.0
0.0,0.525,0.05,0.425,0.0
0.0,0.57500005,0.05,0.425,0.0
0.0,0.625,0.05,0.425,0.0
0.0,0.67499995,0.05,0.425,0.0
0.0,0.725,0.05,0.425,0.0
0.0,0.77500004,0.05,0.425,0.0
0.0,0.825,0.05,0.425,0.0
0.0,0.875,0.05,0.425,0.0
0.0,0.92499995,0.05,0.425,0.0
0.0,0.97499996,0.05,0.425,0.0
0.0,0.025,0.05,0.475,0.0
0.0,0.075,0.05,0.475,0.0
0.0,0.125,0.05,0.475,0.0
0.0,0.17500001,0.05,0.475,0.0
0.0,0.22500001,0.05,0.475,0.0
0.0,0.275,0.05,0.475,0.0
0.0,0.325,0.05,0.475,0.0
0.0,0.375,0.05,0.475,0.0
0.0,0.425,0.05,0.475,0.0
0.0,0.47500002,0.05,0.475,0.0
0.0,0.525,0.05,0.475,0.0
0.0,0.57500005,0.05,0.475,0.0
0.0,0.625,0.05,0.475,0.0
0.0,0.67499995,0.05,0.475,0.0
0.0,0.725,0.05,0.475,0.0
0.0,0.77500004,0.05,0.475,0.0
0.0,0.825,0.05,0.475,0.0
0.0,0.875,0.05,0.475,0.0
0.0,0.92499995,0.05,0.475,0.0
0.0,0.97499996,0.05,0.475,0.0
0.0,0.025,0.05,0.525,0.0
0.0,0.075,0.05,0.525,0.0
0.0,0.125,0.05,0.525,0.0
0.0,0.17500001,0.05,0.525,0.0
0.0,0.22500001,0.05,0.525,0.0
0.0,0.275,0.05,0.525,0.0
0.0,0.325,0.05,0.525,0.0
0.0,0.375,0.05,0.525,0.0
0.0,0.425,0.05,0.525,0.0
0.0,0.47500002,0.05,0.525,0.0
0.0,0.525,0.05,0.525,0.0
0.0,0.57500005,0.05,0.525,0.0
0.0,0.625,0.05,0.525,0.0
0.0,0.67499995,0.05,0.525,0.0
0.0,0.725,0.05,0.525,0.0
0.0,0.77500004,0.05,0.525,0.0
0.0,0.825,0.05,0.525,0.0
0.0,0.875,0.05,0.525,0.0
0.0,0.92499995,0.05,0.525,0.0
0.0,0.97499996,0.05,0.525,0.0
0.0,0.025,0.05,0.575,0.0
0.0,0.075,0.05,0.575,0.0
0.0,0.125,0.05,0.575,0.0
0.0,0.17500001,0.05,0.575,0.0
0.0,0.22500001,0.05,0.575,0.0
0.0,0.275,0.05,0.575,0.0
0.0,0.325,0.05,0.575,0.0
0.0,0.375,0.05,0.575,0.0
0.0,0.425,0.05,0.575,0.0
0.0,0.47500002,0.05,0.575,0.0
0.0,0.525,0.05,0.575,0.0
0.0,0.57500005,0.05,0.575,0.0
0.0,0.625,0.05,0.575,0.0
0.0,0.67499995,0.05,0.575,0.0
0.0,0.725,0.05,0.575,0.0
0.0,0.77500004,0.05,0.575,0.0
0.0,0.825,0.05,0.575,0.0
0.0,0.875,0.05,0.575,0.0
0.0,0.92499995,0.05,0.575,0.0
0.0,0.97499996,0.05,0.575,0.0
0.0,0.025,0.05,0.62500006,0.0
0.0,0.075,0.05,0.62500006,0.0
0.0,0.125,0.05,0.62500006,0.0
0.0,0.17500001,0.05,0.62500006,0.0
0.0,0.22500001,0.05,0.62500006,0.0
0.0,0.275,0.05,0.62500006,0.0
0.0,0.325,0.05,0.62500006,0.0
0.0,0.375,0.05,0.62500006,0.0
0.0,0.425,0.05,0.62500006,0.0
0.0,0.47500002,0.05,0.62500006,0.0
0.0,0.525,0.05,0.62500006,0.0
0.0,0.57500005,0.05,0.62500006,0.0
0.0,0.625,0.05,0.62500006,0.0
0.0,0.67499995,0.05,0.62500006,0.0
0.0,0.725,0.05,0.62500006,0.0
0.0,0.77500004,0.05,0.62500006,0.0
0.0,0.825,0.05,0.62500006,0.0
0.0,0.875,0.05,0.62500006,0.0
0.0,0.92499995,0.05,0.62500006,0.0
0.0,0.97499996,0.05,0.62500006,0.0
0.0,0.025,0.05,0.67499995,0.0
0.0,0.075,0.05,0.67499995,0.0
0.0,0.125,0.05,0.67499995,0.0
0.0,0.17500001,0.05,0.67499995,0.0
0.0,0.22500001,0.05,0.67499995,0.0
0.0,0.275,0.05,0.67499995,0.0
0.0,0.325,0.05,0.67499995,0.0
0.0,0.375,0.05,0.67499995,0.0
0.0,0.425,0.05,0.67499995,0.0
0.0,0.47500002,0.05,0.67499995,0.0
0.0,0.525,0.05,0.67499995,0.0
0.0,0.57500005,0.05,0.67499995,0.0
0.0,0.625,0.05,0.67499995,0.0
0.0,0.67499995,0.05,0.67499995,0.0
0.0,0.725,0.05,0.67499995,0.0
0.0,0.77500004,0.05,0.67499995,0.0
0.0,0.825,0.05,0.67499995,0.0
0.0,0.875,0.05,0.67499995,0.0
0.0,0.92499995,0.05,0.67499995,0.0
0.0,0.97499996,0.05,0.67499995,0.0
0.0,0.025,0.05,0.725,0.0
0.0,0.075,0.05,0.725,0.0
0.0,0.125,0.05,0.725,0.0
0.0,0.17500001,0.05,0.725,0.0
0.0,0.22500001,0.05,0.725,0.0
0.0,0.275,0.05,0.725,0.0
0.0,0.325,0.05,0.725,0.0
0.0,0.375,0.05,0.725,0.0
0.0,0.425,0.05,0.725,0.0
0.0,0.47500002,0.05,0.725,0.0
0.0,0.525,0.05,0.725,0.0
0.0,0.57500005,0.05,0.725,0.0
0.0,0.625,0.05,0.725,0.0
0.0,0.67499995,0.05,0.725,0.0
0.0,0.725,0.05,0.725,0.0
0.0,0.77500004,0.05,0.725,0.0
0.0,0.825,0.05,0.725,0.0
0.0,0.875,0.05,0.725,0.0
0.0,0.92499995,0.05,0.725,0.0
0.0,0.97499996,0.05,0.725,0.0
0.0,0.025,0.05,0.77500004,0.0
0.0,0.075,0.05,0.77500004,0.0
0.0,0.125,0.05,0.77500004,0.0
0.0,0.17500001,0.05,0.77500004,0.0
0.0,0.22500001,0.05,0.77500004,0.0
0.0,0.275,0.05,0.77500004,0.0
0.0,0.325,0.05,0.77500004,0.0
0.0,0.375,0.05,0.77500004,0.0
0.0,0.425,0.05,0.77500004,0.0
0.0,0.47500002,0.05,0.77500004,0.0
0.0,0.525,0.05,0.77500004,0.0
0.0,0.57500005,0.05,0.77500004,0.0
0.0,0.625,0.05,0.77500004,0.0
0.0,0.67499995,0.05,0.77500004,0.0
0.0,0.725,0.05,0.77500004,0.0
0.0,0.77500004,0.05,0.77500004,0.0
0.0,0.825,0.05,0.77500004,0.0
0.0,0.875,0.05,0.77500004,0.0
0.0,0.92499995,0.05,0.77500004,0.0
0.0,0.97499996,0.05,0.77500004,0.0
0.0,0.025,0.05,0.825,0.0
0.0,0.075,0.05,0.825,0.0
0.0,0.125,0.05,0.825,0.0
0.0,0.17500001,0.05,0.825,0.0
0.0,0.22500001,0.05,0.825,0.0
0.0,0.275,0.05,0.825,0.0
0.0,0.325,0.05,0.825,0.0
0.0,0.375,0.05,0.825,0.0
0.0,0.425,0.05,0.825,0.0
0.0,0.47500002,0.05,0.825,0.0
0.0,0.525,0.05,0.825,0.0
0.0,0.57500005,0.05,0.825,0.0
0.0,0.625,0.05,0.825,0.0
0.0,0.67499995,0.05,0.825,0.0
0.0,0.725,0.05,0.825,0.0
0.0,0.77500004,0.05,0.825,0.0
0.0,0.825,0.05,0.825,0.0
0.0,0.875,0.05,0.825,0.0
0.0,0.92499995,0.05,0.825,0.0
0.0,0.97499996,0.05,0.825,0.0
0.0,0.025,0.05,0.87500006,0.0
0.0,0.075,0.05,0.87500006,0.0
0.0,0.125,0.05,0.87500006,0.0
0.0,0.17500001,0.05,0.87500006,0.0
0.0,0.22500001,0.05,0.87500006,0.0
0.0,0.275,0.05,0.87500006,0.0
0.0,0.325,0.05,0.87500006,0.0
0.0,0.375,0.05,0.87500006,0.0
0.0,0.425,0.05,0.87500006,0.0
0.0,0.47500002,0.05,0.87500006,0.0
0.0,0.525,0.05,0.87500006,0.0
0.0,0.57500005,0.05,0.87500006,0.0
0.0,0.625,0.05,0.87500006,0.0
0.0,0.67499995,0.05,0.87500006,0.0
0.0,0.725,0.05,0.87500006,0.0
0.0,0.77500004,0.05,0.87500006,0.0
0.0,0.825,0.05,0.87500006,0.0
0.0,0.875,0.05,0.87500006,0.0
0.0,0.92499995,0.05,0.87500006,0.0
0.0,0.97499996,0.05,0.87500006,0.0
0.0,0.025,0.05,0.9249999,0.0
0.0,0.075,0.05,0.9249999,0.0
0.0,0.125,0.05,0.9249999,0.0
0.0,0.17500001,0.05,0.9249999,0.0
0.0,0.22500001,0.05,0.9249999,0.0
0.0,0.275,0.05,0.9249999,0.0
0.0,0.325,0.05,0.9249999,0.0
0.0,0.375,0.05,0.9249999,0.0
0.0,0.425,0.05,0.9249999,0.0
0.0,0.47500002,0.05,0.9249999,0.0
0.0,0.525,0.05,0.9249999,0.0
0.0,0.57500005,0.05,0.9249999,0.0
0.0,0.625,0.05,0.9249999,0.0
0.0,0.67499995,0.05,0.9249999,0.0
0.0,0.725,0.05,0.9249999,0.0
0.0,0.77500004,0.05,0.9249999,0.0
0.0,0.825,0.05,0.9249999,0.0
0.0,0.875,0.05,0.9249999,0.0
0.0,0.92499995,0.05,0.9249999,0.0
0.0,0.97499996,0.05,0.9249999,0.0
0.0,0.025,0.05,0.975,0.0
0.0,0.075,0.05,0.975,0.0
0.0,0.125,0.05,0.975,0.0
0.0,0.17500001,0.05,0.975,0.0
0.0,0.22500001,0.05,0.975,0.0
0.0,0.275,0.05,0.975,0.0
0.0,0.325,0.05,0.975,0.0
0.0,0.375,0.05,0.975,0.0
0.0,0.425,0.05,0.975,0.0
0.0,0.47500002,0.05,0.975,0.0
0.0,0.525,0.05,0.975,0.0
0.0,0.57500005,0.05,0.975,0.0
0.0,0.625,0.05,0.975,0.0
0.0,0.67499995,0.05,0.975,0.0
0.0,0.725,0.05,0.975,0.0
0.0,0.77500004,0.05,0.975,0.0
0.0,0.825,0.05,0.975,0.0
0.0,0.875,0.05,0.975,0.0
0.0,0.92499995,0.05,0.975,0.0
0.0,0.97499996,0.05,0.975,0.0
0.5,0.025,0.05,0.025,406.62887100865737
0.5,0.075,0.05,0.025,399.1286217194929
0.5,0.125,0.05,0.025,383.37575379618465
0.5,0.17500001,0.05,0.025,357.84868197233936
0.5,0.22500001,0.05,0.025,320.229024478308
0.5,0.275,0.05,0.025,267.37538035045327
0.5,0.325,0.05,0.025,195.31608955521733
0.5,0.375,0.05,0.025,99.28305285736315
0.5,0.425,0.05,0.025,-26.188954491183722
0.5,0.47500002,0.05,0.025,-187.07409926232503
0.5,0.525,0.05,0.025,-389.56091697269676
0.5,0.57500005,0.05,0.025,-639.6454983022868
0.5,0.625,0.05,0.025,-942.6241484992684
0.5,0.67499995,0.05,0.025,-1302.5192562152179
0.5,0.725,0.05,0.025,-1721.4952523365382
0.5,0.77500004,0.05,0.025,-2199.3406043834943
0.5,0.825,0.05,0.025,-2733.100339052905
0.5,0.875,0.05,0.025,-3316.9350315315132
0.5,0.92499995,0.05,0.025,-3942.250790257829
0.5,0.97499996,0.05,0.025,-4598.085040934828
0.5,0.025,0.05,0.075,406.62887100865737
0.5,0.075,0.05,0.075,399.1286217194929
0.5,0.125,0.05,0.075,383.37575379618465
0.5,0.17500001,0.05,0.075,357.84868197233936
0.5,0.22500001,0.05,0.075,320.229024478308
0.5,0.275,0.05,0.075,267.37538035045327
0.5,0.325,0.05,0.075,195.31608955521733
0.5,0.375,0.05,0.075,99.28305285736315
0.5,0.425,0.05,0.075,-26.188954491183722
0.5,0.47500002,0.05,0.075,-187.07409926232503
0.5,0.525,0.05,0.075,-389.56091697269676
0.5,0.57500005,0.05,0.075,-639.6454983022868
0.5,0.625,0.05,0.075,-942.6241484992684
0.5,0.67499995,0.05,0.075,-1302.5192562152179
0.5,0.725,0.05,0.075,-1721.4952523365382
0.5,0.77500004,0.05,0.075,-2199.3406043834943
0.5,0.825,0.05,0.075,-2733.100339052905
0.5,0.875,0.05,0.075,-3316.9350315315132
0.5,0.92499995,0.05,0.075,-3942.250790257829
0.5,0.97499996,0.05,0.075,-4598.085040934828
0.5,0.025,0.05,0.125,406.62887100865737
0.5,0.075,0.05,0.125,399.1286217194929
0.5,0.125,0.05,0.125,383.37575379618465
0.5,0.17500001,0.05,0.125,357.84868197233936
0.5,0.22500001,0.05,0.125,320.229024478308
0.5,0.275,0.05,0.125,267.37538035045327
0.5,0.325,0.05,0.125,195.31608955521733
0.5,0.375,0.05,0.125,99.28305285736315
0.5,0.425,0.05,0.125,-26.188954491183722
0.5,0.47500002,0.05,0.125,-187.07409926232503
0.5,0.525,0.05,0.125,-389.56091697269676
0.5,0.57500005,0.05,0.125,-639.6454983022868
0.5,0.625,0.05,0.125,-942.6241484992684
0.5,0.67499995,0.05,0.125,-1302.5192562152179
0.5,0.725,0.05,0.125,-1721.4952523365382
0.5,0.77500004,0.05,0.125,-2199.3406043834943
0.5,0.825,0.05,0.125,-2733.100339052905
0.5,0.875,0.05,0.125,-3316.9350315315132
0.5,0.92499995,0.05,0.125,-3942.250790257829
0.5,0.97499996,0.05,0.125,-4598.085040934828
0.5,0.025,0.05,0.17500001,406.62887100865737
0.5,0.075,0.05,0.17500001,399.1286217194929
0.5,0.125,0.05,0.17500001,383.37575379618465
0.5,0.17500001,0.05,0.17500001,357.8486819723403
0.5,0.22500001,0.05,0.17500001,320.229024478308
0.5,0.275,0.05,0.17500001,267.37538035045327
0.5,0.325,0.05,0.17500001,195.31608955521733
0.5,0.375,0.05,0.17500001,99.28305285736315
0.5,0.425,0.05,0.17500001,-26.188954491183722
0.5,0.47500002,0.05,0.17500001,-187.07409926232503
0.5,0.525,0.05,0.17500001,-389.56091697269676
0.5,0.57500005,0.05,0.17500001,-639.6454983022868
0.5,0.625,0.05,0.17500001,-942.6241484992684
0.5,0.67499995,0.05,0.17500001,-1302.5192562152179
0.5,0.725,0.05,0.17500001,-1721.4952523365382
0.5,0.77500004,0.05,0.17500001,-2199.3406043834943
0.5,0.825,0.05,0.17500001,-2733.100339052905
0.5,0.875,0.05,0.17500001,-3316.9350315315132
0.5,0.92499995,0.05,0.17500001,-3942.250790257829
0.5,0.97499996,0.05,0.17500001,-4598.085040934828
0.5,0.025,0.05,0.225,406.62887100865737
0.5,0.075,0.05,0.225,399.1286217194929
0.5,0.125,0.05,0.225,383.37575379618465
0.5,0.17500001,0.05,0.225,357.8486819723403
0.5,0.22500001,0.05,0.225,320.229024478308
0.5,0.275,0.05,0.225,267.37538035045327
0.5,0.325,0.05,0.225,195.31608955521642
0.5,0.375,0.05,0.225,99.28305285736315
0.5,0.425,0.05,0.225,-26.188954491183722
0.5,0.47500002,0.05,0.225,-187.07409926232503
0.5,0.525,0.05,0.225,-389.56091697269676
0.5,0.57500005,0.05,0.225,-639.6454983022868
0.5,0.625,0.05,0.225,-942.6241484992684
0.5,0.67499995,0.05,0.225,-1302.5192562152179
0.5,0.725,0.05,0.225,-1721.4952523365382
0.5,0.77500004,0.05,0.225,-2199.340604383495
0.5,0.825,0.05,0.225,-2733.100339052905
0.5,0.875,0.05,0.225,-3316.9350315315132
0.5,0.92499995,0.05,0.225,-3942.250790257829
0.5,0.97499996,0.05,0.225,-4598.085040934828
0.5,0.025,0.05,0.27499998,406.62887100865737
0.5,0.075,0.05,0.27499998,399.1286217194929
0.5,0.125,0.05,0.27499998,383.37575379618465
0.5,0.17500001,0.05,0.27499998,357.8486819723403
