-119.00018	39.81116	18B-31
-119.00062	39.81041	18D-31
-119.00544	39.74750	73-25 
-119.00230	39.80968	81A-1 
-119.00278	39.80927	81-1  
-119.01076	39.80057	56A-1 
-119.00317	39.80859	81B-1 
-119.00764	39.80127	SP-2  
-119.00954	39.80058	56-1  
-119.02034	39.79568	18-1  
-119.01771	39.79728	27-1  
-119.01200	39.79831	47C-1 
-119.01245	39.79716	48A-1 
-119.02166	39.79274	82A-11
-119.01135	39.79991	46-1  
-119.00669	39.74478	BCH-7 
-119.00864	39.75020	BCH-10
